"%s product requires your attention.","%s Produkt benötigt Ihre Aufmerksamkeit."
"%s product was added to your shopping cart.","%s Produkt wurde zu Ihrem Einkaufswagen hinzugefügt."
"%s products require your attention.","%s Produkte benötigen Ihre Aufmerksamkeit."
"%s products were added to your shopping cart.","%s Produkte wurden zu Ihrem Einkaufswagen hinzugefügt."
"%s was added to your shopping cart.","%s wurde zu Ihrem Einkaufswagen hinzugefügt."
"<span id=""sku-attention-num"">%s</span> product(s) require attention","<span id=""sku-attention-num"">%s</span> Produkt(e) benötigen Ihre Aufmerksamkeit"
"Access denied.","Zugang verweigert."
"Action","Aktion"
"Add Products","Produkte hinzufügen"
"Add Products By SKU","Produkte über SKU hinzufügen"
"Add Products to Order","Produkte zur Bestellung hinzufügen"
"Add Selected Product(s) to Shopping Cart","Ausgewählte(s) Produkt(e) in den Warenkorb legen."
"Add To Cart","Zum Einkaufswagen hinzufügen"
"Add to Order","Zu Bestellungen hinzufügen"
"Add to Order by SKU","Zur Bestellung über SKU hinzufügen"
"Add to Shopping Cart","Zum Einkaufswagen hinzufügen"
"Add to Shopping Cart by SKU","Zum Einkaufswagen über SKU hinzufügen"
"Allowed file type: csv.<br/>File must contain two columns, with ""sku"" and ""qty"" in the header row.","Erlaubter Dateityp: csv<br/>Die Datei muss zwei Spalten enthalten mit ""sku"" und ""qty"" in der Kopfzeile."
"An error has occurred. See error log for details.","Ein Fehler ist aufgetreten. Genauere Informationen finden Sie im Fehlerprotokoll."
"Apply","Anwenden"
"Apply Coupon","Coupon verrechnen"
"Apply Coupon Code","Gutschein-Code anwenden"
"Are you sure you want to delete all items from shopping cart?","Sind Sie sicher, dass Sie alle Artikel aus dem Einkaufswagen löschen möchten?"
"Availability: Out of stock.","Verfügbarkeit: Nicht auf Lager."
"Cancel","Abbrechen"
"Cannot add product","Produkt kann nicht hinzugefügt werden"
"Cannot configure product","Produkt kann nicht konfiguriert werden"
"Choose some products to add to shopping cart.","Wählen Sie einige Produkte, um diese dem Warenkorb hinzuzufügen."
"Clear Shopping Cart","Einkaufswagen leeren"
"Configure","Konfigurieren"
"Coupon code ""%s"" is not valid","Couponcode ""%s"" ist ungültig"
"Customer Groups","Kundengruppen"
"Customer not found","Kunde nicht gefunden"
"Customers","Kunden"
"Defines whether a link to My Account > Order by SKU page will be displayed on the widget","Definiert, ob ein Link zur Seite Mein Konto > Bestellung über SKU im Widget angezeigt wird"
"Disabled products cannot be added.","Deaktivierte Produkte können nicht hinzugefügt werden."
"Discount","Ermäßigung"
"Display a Link to Loading a Spreadsheet","Link anzeigen zu Tabelle laden"
"Enable Order by SKU on My Account in Frontend","Bestellung über SKU in Mein Konto im Frontend aktivieren"
"Excl. Tax","Exkl. Steuer"
"Failed to add a product of order item","Produkt konnte nicht zur Auftragsposition hinzugefügt werden"
"Failed to reorder item","Produkt konnte nicht wieder bestellt werden"
"File","Datei"
"File cannot be uploaded.","Die Datei kann nicht hochgeladen werden."
