"Authorization","Autorización"
"Authorization transaction is required to void.","Para anular se requiere la transacción de autorización."
"Data Transfer Key","Clave de Transferencia de Datos"
"Debug","Depurar"
"Direct Sale","Venta directa"
"Empty response received from Payment Bridge.","Sin respuesta por parte del Puente de pago."
"Enabled","Habilitado"
"Gateway Basic URL","URL Básica de Puerta de Enlace"
"Gives effect only when payment bridge is active.","Surte efecto solamente cuando la pasarela de pago está activa."
"IPN postback HTTP error: %s","Error HTTP de devolución de Notificación de Pago Instantánea (IPN): %s"
"IPN postback Validation error: %s","Error de Validación de devolución de Notificación de Pago Instantánea (IPN): %s"
"Impossible to issue a refund transaction, because capture transaction does not exist.","Imposible emitir una transacción de reembolso, porque la transacción de captura no existe."
"Maximum data transfer key length is 32. Please correct your settings.","La longitud clave máxima para la transferencia de datos es 32. Corrija su configuración"
"Merchant Code","Código de Comerciante"
"Merchant Key","Clave de Comerciante"
"Merchant review is required for further processing.","Se requiere la revisión del comerciante para continuar el proceso."
"Ogone Direct Link","Enlace directo Ogone"
"Original gateway transaction id: #%s.","Puerta de entrada original de la identidad de la transacción: #%s"
"Payflow PNREF: #%s.","Payflow PNREF: #%s."
"Payment Action","Acción de Pago"
"Payment Bridge","Pasarela de Pago"
"Payment Bridge Selected","Pasarela de Pago Seleccionada"
"Payment Bridge authentication data is not present","No están presentes los datos de autenticación de la Pasarela de Pago"
"Payment Method Code is not passed.","No se ha pasado el Código de Método de Pago."
"Payment from Applicable Countries","Pago desde países aplicables"
"Payment from Specific Countries","Pago desde países específicos"
"Payment gateway internal error.","Error interno en la pasarela de pago."
"Sale","Venta"
"Sort Order","Orden de selección"
"Test Mode","Modo de prueba"
"Title","Título"
"Unable to communicate with Payment Bridge service.","No se puede comunicar con el servicio de Pasarela de Pago."
"Use via Payment Bridge","Uso a través de la Pasarela de Pago"
"Your payment information has been submitted to the server. If you need to make changes, please click <a style=""color: #1E75B4"" href=""#"" onclick=""parent.reloadIframe(paymentObj.currentMethod); return false;"">here</a> .","La información de su pago ha sido enviada al servidor. Si necesita hacer cambios, por favor haga clic en <a style=""color: #1E75B4"" href=""#"">here</a> ."
"Your payment information has been submitted to the server. If you need to make changes, please click <a style=""color: #F15A24"" href=""#"" onclick=""parent.reloadIframe(parent.order.paymentMethod); return false;"">here</a> .","La información de su pago ha sido enviada al servidor. Si necesita hacer cambios, por favor haga clic en <a style=""color: #F15A24"" href=""#"">here</a> ."
